inst,stim,mnist_index,cond,acc,rt,conf,sat,noise
56,5,9,1,0.91,4.9,14476.67811,3,High
57,5,9,1,0.96,4.21,33952.82258,3,High
58,5,9,1,1,4.06,28010.72581,3,High
59,5,9,1,1,4.01,29812.44832,3,High
0,3,33,1,1,3.37,19860.14869,3,Low
1,3,33,1,1,3.22,64288.57781,3,Low
2,3,33,1,1,3.09,42368.00268,3,Low
3,3,33,1,1,3.02,80443.55719,3,Low
4,3,33,1,0.92,3.56,35148.84619,3,Low
5,3,33,1,1,3.05,74548.12563,3,Low
6,3,33,1,1,3.09,71082.85676,3,Low
7,3,33,1,1,3.01,88031.72887,3,Low
8,3,33,1,1,3.06,63479.536,3,Low
9,3,33,1,1,3.21,54277.96965,3,Low
10,3,33,1,1,3.01,137879.5463,3,Low
11,3,33,1,1,3.01,154371.1798,3,Low
12,3,33,1,1,3.66,32009.26566,3,Low
13,3,33,1,1,3,94723.35863,3,Low
14,3,33,1,1,3,97605.20527,3,Low
15,3,33,1,1,3.04,78316.26887,3,Low
16,3,33,1,1,3.03,78094.43617,3,Low
17,3,33,1,1,3.03,64336.15705,3,Low
18,3,33,1,1,3,108639.4001,3,Low
19,3,33,1,0.24,7.27,15006.64907,3,Low
20,3,33,1,1,3,77362.59383,3,Low
21,3,33,1,1,3.03,63226.79783,3,Low
22,3,33,1,1,3.18,40164.16182,3,Low
23,3,33,1,1,3.39,32653.20539,3,Low
24,3,33,1,0.14,4.88,16397.1603,3,Low
25,3,33,1,0.99,3.39,30307.54277,3,Low
26,3,33,1,0.99,3.4,31590.98428,3,Low
27,3,33,1,1,3.01,48570.08094,3,Low
28,3,33,1,1,3,95101.14055,3,Low
29,3,33,1,1,4.35,25065.88635,3,Low
30,3,33,1,0.99,4.73,24079.07068,3,Low
31,3,33,1,1,3,96375.86855,3,Low
32,3,33,1,1,3.09,47755.18189,3,Low
33,3,33,1,1,3.3,32952.37221,3,Low
34,3,33,1,1,3,108386.1212,3,Low
35,3,33,1,1,3.2,49042.79127,3,Low
36,3,33,1,1,3,106094.0262,3,Low
37,3,33,1,1,3.01,72252.68066,3,Low
38,3,33,1,1,3,98863.67445,3,Low
39,3,33,1,1,3.18,47560.33637,3,Low
40,3,33,1,1,3.04,35837.5373,3,Low
41,3,33,1,0.99,3.67,41207.80752,3,Low
42,3,33,1,0.95,4.52,14480.34345,3,Low
43,3,33,1,1,3.04,52116.66475,3,Low
44,3,33,1,0.99,3.52,27116.94699,3,Low
45,3,33,1,1,3.2,36856.0399,3,Low
46,3,33,1,1,3.64,20840.04916,3,Low
47,3,33,1,1,3.34,40380.4083,3,Low
48,3,33,1,1,3.02,64079.97918,3,Low
49,3,33,1,1,3,65316.16906,3,Low
50,3,33,1,1,3.01,67343.00656,3,Low
51,3,33,1,1,3,93289.41039,3,Low
52,3,33,1,1,3.1,44132.52391,3,Low
53,3,33,1,1,3.3,45601.96244,3,Low
54,3,33,1,1,3.05,73005.22055,3,Low
55,3,33,1,1,3.05,43241.61197,3,Low
56,3,33,1,1,3.06,45340.28904,3,Low
57,3,33,1,1,3,89621.88434,3,Low
58,3,33,1,1,3,93064.1625,3,Low
59,3,33,1,1,3,89534.50273,3,Low
0,3,45,1,0.99,3.82,14085.42147,3,Low
1,3,45,1,0.43,4.99,14925.01301,3,Low
2,3,45,1,0.98,4.3,21139.86417,3,Low
3,3,45,1,1,3.16,50096.28063,3,Low
4,3,45,1,0.87,3.83,24940.63859,3,Low
5,3,45,1,1,3.56,44465.40158,3,Low
6,3,45,1,0.96,3.82,35259.45664,3,Low
7,3,45,1,1,3.08,51433.42574,3,Low
8,3,45,1,1,3.64,36210.18352,3,Low
9,3,45,1,0.99,3.47,51836.69074,3,Low
10,3,45,1,1,3.15,65107.80152,3,Low
11,3,45,1,1,3.48,67676.22371,3,Low
12,3,45,1,0.25,6.31,12753.35562,3,Low
13,3,45,1,1,3,68517.63598,3,Low
14,3,45,1,1,3,64497.78652,3,Low
15,3,45,1,1,3.21,48601.69871,3,Low
16,3,45,1,1,3.13,50691.77498,3,Low
17,3,45,1,0.96,4.35,26032.77355,3,Low
18,3,45,1,1,3.16,51975.28494,3,Low
19,3,45,1,0.01,6.37,17959.96611,3,Low
20,3,45,1,0.9,4.9,19968.13088,3,Low
21,3,45,1,1,4.43,26385.16266,3,Low
22,3,45,1,0.63,6.06,12061.7128,3,Low
23,3,45,1,0.8,5.28,14856.01209,3,Low
24,3,45,1,0.02,6.23,11414.23146,3,Low
25,3,45,1,0.78,5.17,15077.3552,3,Low
26,3,45,1,0.76,5.15,13990.87279,3,Low
27,3,45,1,1,3.49,21267.40212,3,Low
28,3,45,1,0.99,3.24,46621.90064,3,Low
29,3,45,1,0,5.63,19632.85032,3,Low
30,3,45,1,0,5.19,21870.91219,3,Low
31,3,45,1,1,3.07,59777.16627,3,Low
32,3,45,1,0.96,4.17,23304.18748,3,Low
33,3,45,1,0.81,4.69,15178.00813,3,Low
34,3,45,1,1,3.07,60844.06943,3,Low
35,3,45,1,0.92,4.77,23359.26465,3,Low
36,3,45,1,1,3.08,59238.21439,3,Low
37,3,45,1,1,3.05,50156.45836,3,Low
38,3,45,1,1,3.17,49149.99387,3,Low
39,3,45,1,1,3.27,40576.99072,3,Low
40,3,45,1,1,3.22,23305.21919,3,Low
41,3,45,1,0.89,5.12,22896.83735,3,Low
42,3,45,1,0.5,5.99,5635.65833,3,Low
43,3,45,1,0.98,4,29663.34223,3,Low
44,3,45,1,0.32,4.86,12511.07145,3,Low
45,3,45,1,0.98,4.39,22414.39242,3,Low
46,3,45,1,0.7,4.57,11505.94792,3,Low
47,3,45,1,1,3.47,34755.01154,3,Low
48,3,45,1,0.97,5.08,19740.22908,3,Low
49,3,45,1,1,3.21,37101.8493,3,Low
50,3,45,1,1,3.2,37071.49355,3,Low
51,3,45,1,1,3.08,55548.8534,3,Low
52,3,45,1,0.99,3.95,22353.454,3,Low
53,3,45,1,0.58,4.48,17007.41393,3,Low
54,3,45,1,1,3.08,45488.42092,3,Low
55,3,45,1,1,3.73,27322.78999,3,Low
56,3,45,1,1,3.73,25650.6723,3,Low
57,3,45,1,1,3.34,46905.57633,3,Low
58,3,45,1,1,3.05,57975.20852,3,Low
59,3,45,1,1,3.05,54614.83869,3,Low
0,2,48,0,0.3,14.5,15730.08088,6,High
1,2,48,0,1,7.08,64408.89707,6,High
2,2,48,0,0.01,7.2,82940.00137,6,High
3,2,48,0,0.5,10.18,35954.37055,6,High
4,2,48,0,1,6.24,158643.4132,6,High
5,2,48,0,0.58,12.87,34638.29684,6,High
6,2,48,0,0.99,9.16,85092.28363,6,High
7,2,48,0,0.99,7.48,87740.18148,6,High
8,2,48,0,0.49,11.95,27407.63516,6,High
9,2,48,0,0.95,8.56,88989.02617,6,High
10,2,48,0,0.99,6.44,131211.7928,6,High
11,2,48,0,0.09,10.27,64099.04719,6,High
12,2,48,0,0.61,9.82,36985.44023,6,High
13,2,48,0,0.92,8.37,35222.7925,6,High
14,2,48,0,0.9,8.49,35081.6758,6,High
15,2,48,0,0.35,10.04,36948.62703,6,High
16,2,48,0,0.37,10,35550.34469,6,High
17,2,48,0,0.99,6.68,100952.9696,6,High
18,2,48,0,1,6.15,118940.4434,6,High
19,2,48,0,0.6,13.39,43441.39773,6,High
20,2,48,0,0.49,16.54,30308.18438,6,High
21,2,48,0,0.95,9.93,50638.3516,6,High
22,2,48,0,0,16.25,21668.14564,6,High
23,2,48,0,1,7.14,72947.67613,6,High
24,2,48,0,0.92,13.56,35542.71924,6,High
25,2,48,0,1,7.11,76948.99305,6,High
26,2,48,0,1,6.82,72996.29914,6,High
27,2,48,0,1,7.8,43621.45471,6,High
28,2,48,0,1,6.06,162681.5338,6,High
29,2,48,0,0,6.52,148909.4334,6,High
30,2,48,0,0,6.46,148909.496,6,High
31,2,48,0,0.8,10.19,38733.47465,6,High
32,2,48,0,1,6.95,81834.3234,6,High
33,2,48,0,1,9,60803.22188,6,High
34,2,48,0,1,6.05,173898.2588,6,High
35,2,48,0,0.48,14.27,43906.84457,6,High
36,2,48,0,1,6.07,173620.3991,6,High
37,2,48,0,0.52,10.92,25617.34863,6,High
38,2,48,0,1,6.24,123430.4683,6,High
39,2,48,0,0.52,11.98,30303.95863,6,High
40,2,48,0,1,6.68,44986.21018,6,High
41,2,48,0,0.46,10.28,31832.53,6,High
42,2,48,0,0.99,6.97,62516.90145,6,High
43,2,48,0,0.36,15.97,25121.95105,6,High
44,2,48,0,0.52,14.35,26512.48686,6,High
45,2,48,0,1,8.01,52541.53879,6,High
46,2,48,0,0.6,12.89,25495.46203,6,High
47,2,48,0,0.44,14.16,26989.47348,6,High
48,2,48,0,1,6.36,99667.75215,6,High
49,2,48,0,1,7.88,48279.43129,6,High
50,2,48,0,1,8.1,47243.09451,6,High
51,2,48,0,1,6.05,127906.7559,6,High
52,2,48,0,1,6.09,128562.4173,6,High
53,2,48,0,0.99,7.19,82536.75469,6,High
54,2,48,0,0.99,6.85,74464.2443,6,High
55,2,48,0,0.38,14.37,26038.51822,6,High
56,2,48,0,0.39,15.03,24726.22008,6,High
57,2,48,0,1,7.58,93966.24336,6,High
58,2,48,0,0.74,10.97,33574.85588,6,High
59,2,48,0,0.76,10.51,34603.31875,6,High
0,1,95,1,0.68,5.47,6580.277065,3,Low
1,1,95,1,0,4.71,25148.7641,3,Low
2,1,95,1,1,3.42,38799.70776,3,Low
3,1,95,1,0.9,5.73,20633.93346,3,Low
4,1,95,1,0.74,5.9,15648.00813,3,Low
5,1,95,1,0.35,4.81,17535.41031,3,Low
6,1,95,1,0.87,4.26,25208.64031,3,Low
7,1,95,1,0.88,4.23,25080.91027,3,Low
8,1,95,1,0.02,6.07,17374.21091,3,Low
9,1,95,1,0,3.78,39529.13502,3,Low
10,1,95,1,0.44,5.61,16582.32941,3,Low
11,1,95,1,1,3.01,128064.2646,3,Low
12,1,95,1,0.91,4.48,23025.7683,3,Low
13,1,95,1,0.07,6.01,9242.530264,3,Low
14,1,95,1,0.03,6.21,8728.824961,3,Low
15,1,95,1,0.92,5.66,20180.10548,3,Low
16,1,95,1,0.92,5.79,19525.20467,3,Low
17,1,95,1,1,3.06,66175.89855,3,Low
18,1,95,1,1,3.34,39390.6067,3,Low
19,1,95,1,1,3.02,114027.5781,3,Low
20,1,95,1,0.98,3.86,35858.95043,3,Low
21,1,95,1,1,3.24,49871.63471,3,Low
22,1,95,1,1,3.64,26942.789,3,Low
23,1,95,1,1,3.44,38275.2533,3,Low
24,1,95,1,0.51,6.09,9658.416025,3,Low
25,1,95,1,1,3.47,37130.28623,3,Low
26,1,95,1,1,3.45,40199.02635,3,Low
27,1,95,1,1,3.16,26705.05324,3,Low
28,1,95,1,0.42,5.31,12847.88527,3,Low
29,1,95,1,0.89,4.35,27739.41199,3,Low
30,1,95,1,0.92,4.13,29247.11266,3,Low
31,1,95,1,0.87,5,17505.36115,3,Low
32,1,95,1,0.65,5.28,14750.81258,3,Low
33,1,95,1,0.65,5.76,12843.86418,3,Low
34,1,95,1,0.13,4.6,17963.40654,3,Low
35,1,95,1,0.01,4.63,32098.59537,3,Low
36,1,95,1,0.16,4.65,16793.81674,3,Low
37,1,95,1,0.97,4.13,19213.11435,3,Low
38,1,95,1,0.59,5.1,15711.86797,3,Low
39,1,95,1,0.06,5.03,20175.06624,3,Low
40,1,95,1,0.49,5.55,6108.586689,3,Low
41,1,95,1,1,3.3,48134.82232,3,Low
42,1,95,1,0.71,5.27,11808.31174,3,Low
43,1,95,1,0.27,5.97,13617.74412,3,Low
44,1,95,1,0.78,5.29,16259.84046,3,Low
45,1,95,1,0,6.36,12073.87783,3,Low
46,1,95,1,0.17,5.41,13573.92264,3,Low
47,1,95,1,0.99,3.69,34419.07425,3,Low
48,1,95,1,1,3.03,55463.7343,3,Low
49,1,95,1,0.99,3.41,23408.27617,3,Low
50,1,95,1,0.99,3.33,24349.70374,3,Low
51,1,95,1,0.53,5.43,11382.82594,3,Low
52,1,95,1,0.8,4.96,14191.11676,3,Low
53,1,95,1,0,3.29,36688.53897,3,Low
54,1,95,1,1,3.37,26357.06154,3,Low
55,1,95,1,0.97,3.8,23779.18869,3,Low
56,1,95,1,0.95,3.82,22430.38625,3,Low
57,1,95,1,0.82,5.9,17296.62567,3,Low
58,1,95,1,0.53,5.99,13355.07928,3,Low
59,1,95,1,0.54,5.59,13090.10326,3,Low
0,7,112,1,0.65,6.33,9124.612017,3,High
1,7,112,1,0.22,5.25,15043.9087,3,High
2,7,112,1,0.03,3.37,56856.61352,3,High
3,7,112,1,0.1,5.57,16640.62701,3,High
4,7,112,1,0.85,5.14,24896.30648,3,High
5,7,112,1,0.22,5.53,21758.49137,3,High
6,7,112,1,0.46,5.66,18495.0357,3,High
7,7,112,1,0,4.87,27232.13389,3,High
8,7,112,1,0.79,4.46,27474.96654,3,High
9,7,112,1,0.74,5.11,26846.16518,3,High
10,7,112,1,0.66,5.29,28784.32887,3,High
11,7,112,1,0.05,3.62,79959.14281,3,High
12,7,112,1,0.38,5.08,18619.58458,3,High
13,7,112,1,0,3.42,28705.61457,3,High
14,7,112,1,0,3.46,27905.77063,3,High
15,7,112,1,0.06,5.1,19113.39313,3,High
16,7,112,1,0.09,4.89,14957.17656,3,High
17,7,112,1,0.8,4.05,29624.93148,3,High
18,7,112,1,0.99,3.74,34798.3326,3,High
19,7,112,1,0.05,3.88,37339.54998,3,High
20,7,112,1,0.92,4.26,27355.04201,3,High
21,7,112,1,0.99,3.89,39112.05531,3,High
22,7,112,1,0.55,5.07,12062.10205,3,High
23,7,112,1,0.78,4.47,16730.84809,3,High
24,7,112,1,0.41,7.59,9954.838262,3,High
25,7,112,1,0.84,4.56,19711.19967,3,High
26,7,112,1,0.81,4.51,19643.26172,3,High
27,7,112,1,0.97,3.73,21122.09768,3,High
28,7,112,1,0.16,4.9,18377.51168,3,High
29,7,112,1,0.87,3.73,44314.34594,3,High
30,7,112,1,0.92,3.71,44745.80852,3,High
31,7,112,1,0.28,6.21,15593.21063,3,High
32,7,112,1,0,4.08,27822.29612,3,High
33,7,112,1,0,5.42,14411.84307,3,High
34,7,112,1,0.46,5.01,18509.07242,3,High
35,7,112,1,0.99,4.12,37400.27059,3,High
36,7,112,1,0.47,5.06,21488.91961,3,High
37,7,112,1,0.86,4.62,15759.30217,3,High
38,7,112,1,0.57,4.61,22158.46002,3,High
39,7,112,1,0.05,5.55,18059.12229,3,High
40,7,112,1,0.61,5.19,9507.909717,3,High
41,7,112,1,0.88,5.02,22513.29234,3,High
42,7,112,1,0.86,4.63,15497.88,3,High
43,7,112,1,0.02,6.4,15872.29242,3,High
44,7,112,1,0.6,5.21,16752.49317,3,High
45,7,112,1,0.22,5.87,12822.22332,3,High
46,7,112,1,0.01,6.25,8939.397446,3,High
47,7,112,1,0.07,5.07,25225.80355,3,High
48,7,112,1,0.92,3.99,24909.0733,3,High
49,7,112,1,0.83,4.83,18498.27797,3,High
50,7,112,1,0.82,4.63,19403.29103,3,High
51,7,112,1,0.95,4.4,23500.33826,3,High
52,7,112,1,0.89,4.67,17726.50227,3,High
53,7,112,1,0.07,4.49,24231.38316,3,High
54,7,112,1,0.98,3.96,24492.75188,3,High
55,7,112,1,0.83,5.32,17612.98928,3,High
56,7,112,1,0.79,5.14,17034.14011,3,High
57,7,112,1,0.05,5.98,22388.17752,3,High
58,7,112,1,0.42,5.35,13851.00734,3,High
59,7,112,1,0.44,5.31,12976.39855,3,High
0,8,147,0,1,6.43,47321.98404,6,Low
1,8,147,0,1,6.04,162789.2391,6,Low
2,8,147,0,1,6,292967.4963,6,Low
3,8,147,0,1,6.1,106519.0519,6,Low
4,8,147,0,1,6.08,192394.6411,6,Low
5,8,147,0,1,6.58,98758.78289,6,Low
6,8,147,0,1,6.03,157136.0736,6,Low
7,8,147,0,1,6.24,117725.3779,6,Low
8,8,147,0,1,6.25,104640.9209,6,Low
9,8,147,0,1,6.03,288364.8148,6,Low
10,8,147,0,1,6.05,184341.9067,6,Low
11,8,147,0,1,6.05,202947.3392,6,Low
12,8,147,0,1,6.05,137948.7642,6,Low
13,8,147,0,1,6.19,84549.47953,6,Low
14,8,147,0,1,6.32,84010.47984,6,Low
15,8,147,0,1,6.18,101568.0021,6,Low
16,8,147,0,1,6.21,105163.4524,6,Low
17,8,147,0,1,6.14,105761.6628,6,Low
18,8,147,0,1,6.04,150488.9064,6,Low
19,8,147,0,1,6.35,112928.4202,6,Low
20,8,147,0,1,6.03,117497.8533,6,Low
21,8,147,0,1,6,256397.2917,6,Low
22,8,147,0,1,6.39,79572.76898,6,Low
23,8,147,0,1,6.51,68844.62848,6,Low
24,8,147,0,1,6.68,63768.77668,6,Low
25,8,147,0,1,6.69,68981.3007,6,Low
26,8,147,0,1,6.56,67985.8718,6,Low
27,8,147,0,1,6.05,71358.75398,6,Low
28,8,147,0,1,6.09,126452.7717,6,Low
29,8,147,0,1,8.74,62096.04801,6,Low
30,8,147,0,0.99,9.14,61277.7643,6,Low
31,8,147,0,1,6.25,99653.37844,6,Low
32,8,147,0,1,6.05,114361.8362,6,Low
33,8,147,0,0.99,7.85,49572.36113,6,Low
34,8,147,0,1,6,184652.8405,6,Low
35,8,147,0,1,6.01,165954.2125,6,Low
36,8,147,0,1,6,185106.5207,6,Low
37,8,147,0,1,6.02,122489.0635,6,Low
38,8,147,0,1,6.08,102927.236,6,Low
39,8,147,0,1,6.11,110322.7688,6,Low
40,8,147,0,1,6.15,61065.97195,6,Low
41,8,147,0,1,6.01,200512.2405,6,Low
42,8,147,0,1,7.13,50227.81293,6,Low
43,8,147,0,1,6.56,78186.9093,6,Low
44,8,147,0,1,6.11,90070.57035,6,Low
45,8,147,0,1,6.23,67619.07184,6,Low
46,8,147,0,1,6.39,68267.19801,6,Low
47,8,147,0,1,6.05,110881.6709,6,Low
48,8,147,0,1,6.02,187854.8673,6,Low
49,8,147,0,1,6.02,106608.5531,6,Low
50,8,147,0,1,6.05,108955.0105,6,Low
51,8,147,0,1,6.25,91490.45254,6,Low
52,8,147,0,1,6.08,130885.6741,6,Low
53,8,147,0,1,6,286739.6134,6,Low
54,8,147,0,1,6.06,102815.6022,6,Low
55,8,147,0,1,6.08,107599.1463,6,Low
56,8,147,0,1,6.06,109813.8039,6,Low
57,8,147,0,1,6.19,127683.1503,6,Low
58,8,147,0,1,6,144742.5836,6,Low
59,8,147,0,1,6,144289.9764,6,Low
0,2,150,0,0.04,20.34,7974.731465,6,Low
1,2,150,0,0.11,14.63,26154.30422,6,Low
2,2,150,0,1,8.68,47363.63547,6,Low
3,2,150,0,0.86,12.49,35385.06078,6,Low
4,2,150,0,1,6.39,108295.9698,6,Low
5,2,150,0,0,15.17,42130.94854,6,Low
6,2,150,0,0.97,8.76,54666.82469,6,Low
7,2,150,0,0.82,13.95,28072.96961,6,Low
8,2,150,0,1,8.26,60723.57824,6,Low
9,2,150,0,1,6.73,138401.6904,6,Low
10,2,150,0,0.28,12.79,44343.97039,6,Low
11,2,150,0,0.83,12.31,51454.06172,6,Low
12,2,150,0,0.9,9.5,50412.44492,6,Low
13,2,150,0,0.43,13.28,18960.39172,6,Low
14,2,150,0,0.56,12.75,21125.58059,6,Low
15,2,150,0,0.87,13.39,34034.91871,6,Low
16,2,150,0,0.76,12.74,32667.44049,6,Low
17,2,150,0,0.16,11.48,31585.69914,6,Low
18,2,150,0,0.92,9.24,42465.25746,6,Low
19,2,150,0,0,13.8,39879.95816,6,Low
20,2,150,0,0.24,10.23,17177.0525,6,Low
21,2,150,0,0,9.4,58038.61617,6,Low
22,2,150,0,0.07,17.9,19109.50967,6,Low
23,2,150,0,0.24,17.42,18192.14064,6,Low
24,2,150,0,0,14.75,24270.18842,6,Low
25,2,150,0,0.21,16.81,14983.6238,6,Low
26,2,150,0,0.21,17.36,15513.95863,6,Low
27,2,150,0,0.6,18.31,11509.6732,6,Low
28,2,150,0,0.39,14.65,29934.18748,6,Low
29,2,150,0,0,8.43,60503.46781,6,Low
30,2,150,0,0,7.94,58537.73195,6,Low
31,2,150,0,0.85,13.55,37768.385,6,Low
32,2,150,0,0.72,15.65,24802.19128,6,Low
33,2,150,0,0.11,11.14,34254.97914,6,Low
34,2,150,0,0.95,11.02,50669.1548,6,Low
35,2,150,0,0,9.48,41822.67758,6,Low
36,2,150,0,0.92,10.99,46103.01188,6,Low
37,2,150,0,0.37,11.43,19495.05783,6,Low
38,2,150,0,0.97,10.71,43263.52215,6,Low
39,2,150,0,0,13.91,21716.92014,6,Low
40,2,150,0,0.68,14.49,13262.12504,6,Low
41,2,150,0,0.65,11.93,28237.41828,6,Low
42,2,150,0,0.77,13.22,20918.87156,6,Low
43,2,150,0,0,10.37,41807.0567,6,Low
44,2,150,0,0.01,13.57,21343.59582,6,Low
45,2,150,0,0.99,9.34,41477.42969,6,Low
46,2,150,0,0.47,17.63,20212.50814,6,Low
47,2,150,0,0,15.08,24205.46945,6,Low
48,2,150,0,0.92,12.36,29449.84926,6,Low
49,2,150,0,0.65,15.79,15299.31885,6,Low
50,2,150,0,0.64,15.19,14727.04361,6,Low
51,2,150,0,0.98,8.63,44908.88801,6,Low
52,2,150,0,0.99,8.62,44834.53957,6,Low
53,2,150,0,0.4,13.76,28067.7923,6,Low
54,2,150,0,0.69,12.27,24259.46395,6,Low
55,2,150,0,0.65,13.53,21752.68496,6,Low
56,2,150,0,0.76,13.79,24243.56799,6,Low
57,2,150,0,0.58,11.95,25421.85129,6,Low
58,2,150,0,0,11.13,32522.72744,6,Low
59,2,150,0,0,11.93,33664.40625,6,Low
0,5,168,0,0.05,15.68,16276.3237,6,Low
1,5,168,0,0,6.86,80849.25703,6,Low
2,5,168,0,1,6.22,84913.65797,6,Low
3,5,168,0,1,7.37,96373.73898,6,Low
4,5,168,0,0.36,11.55,32745.15645,6,Low
5,5,168,0,0.01,12.61,41195.33609,6,Low
6,5,168,0,1,6.3,148483.4123,6,Low
7,5,168,0,1,7.13,107453.4027,6,Low
8,5,168,0,0.07,15.25,24947.69367,6,Low
9,5,168,0,1,6.86,129170.5355,6,Low
10,5,168,0,0.54,14.12,29088.86641,6,Low
11,5,168,0,1,7.56,101657.3184,6,Low
12,5,168,0,1,11.14,45526.65424,6,Low
13,5,168,0,0.89,8.13,40729.91797,6,Low
14,5,168,0,0.91,8.16,41966.15871,6,Low
15,5,168,0,1,7.32,99076.67195,6,Low
16,5,168,0,1,7.35,97796.35551,6,Low
17,5,168,0,1,7.84,74165.76734,6,Low
18,5,168,0,1,8.3,61977.49191,6,Low
19,5,168,0,0.03,12.28,33932.26813,6,Low
20,5,168,0,0.31,14.18,16263.11557,6,Low
21,5,168,0,0.89,10.57,44797.97625,6,Low
22,5,168,0,1,7.76,59679.28695,6,Low
23,5,168,0,0.01,14.51,20463.47092,6,Low
24,5,168,0,0,10.32,31277.224,6,Low
25,5,168,0,0,14.61,22637.56719,6,Low
26,5,168,0,0,14.1,26445.6526,6,Low
27,5,168,0,0.84,13.09,19714.6759,6,Low
28,5,168,0,0.72,13.99,28915.91703,6,Low
29,5,168,0,0,7.35,76724.39773,6,Low
30,5,168,0,0,7.52,79457.59953,6,Low
31,5,168,0,0.12,18.24,29649.16324,6,Low
32,5,168,0,0.02,13.85,34586.1302,6,Low
33,5,168,0,0.99,8.33,57788.49137,6,Low
34,5,168,0,0.45,16.16,26808.57793,6,Low
35,5,168,0,0.02,11.12,38244.23834,6,Low
36,5,168,0,0.4,17.32,23519.04613,6,Low
37,5,168,0,0.45,10.84,24999.63275,6,Low
38,5,168,0,1,7.87,86478.82828,6,Low
39,5,168,0,0.46,14.94,17620.49333,6,Low
40,5,168,0,0.89,10.72,25854.82936,6,Low
41,5,168,0,0.73,11.8,31876.23598,6,Low
42,5,168,0,0.05,11.13,24612.97842,6,Low
43,5,168,0,0,8.75,48619.09117,6,Low
44,5,168,0,0,11.36,35858.75309,6,Low
45,5,168,0,0.94,10.37,34459.22703,6,Low
46,5,168,0,0.37,12.52,19338.05691,6,Low
47,5,168,0,0,12.01,35215.72781,6,Low
48,5,168,0,1,6.55,82858.57984,6,Low
49,5,168,0,0.99,8.83,37513.34455,6,Low
50,5,168,0,0.98,8.57,39746.91359,6,Low
51,5,168,0,1,7.33,68690.18715,6,Low
52,5,168,0,1,7.43,57879.76615,6,Low
53,5,168,0,0.9,11.52,43389.64715,6,Low
54,5,168,0,0.85,13.55,30867.84504,6,Low
55,5,168,0,0.98,8.09,43452.37121,6,Low
56,5,168,0,0.98,8.25,43087.51992,6,Low
57,5,168,0,0.02,10.95,48952.45172,6,Low
58,5,168,0,0.13,14.01,26869.00994,6,Low
59,5,168,0,0.1,13.59,27879.01805,6,Low
0,1,181,0,0.42,13.68,13255.33096,6,High
1,1,181,0,0.44,16.36,21362.24945,6,High
2,1,181,0,1,6.04,186023.1769,6,High
